"Program","Year","Period","Geo.Level","State","State.ANSI","Ag.District","Ag.District.Code","County","County.ANSI","Measure","Bearing_type","Domain","Domain.Category","Value","CV...."
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"CONECUH",35,"","ACRES GROWN","TOTAL","NOT SPECIFIED",1,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"CONECUH",35,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",6,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"CONECUH",35,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",6,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"MOBILE",97,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"MOBILE",97,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"MOBILE",97,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",3,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"MOBILE",97,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",3,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",3,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",3,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"OPERATIONS ","WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",1,"47.6"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CALHOUN",15,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CALHOUN",15,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CALHOUN",15,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",2,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CALHOUN",15,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE",29,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE",29,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE",29,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",4,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE",29,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",4,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"","ACRES BEARING","TOTAL","NOT SPECIFIED",8,"13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"","ACRES GROWN","TOTAL","NOT SPECIFIED",9,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",1,"(H)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",10,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",11,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"OPERATIONS ","WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",3,"47.6"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"DE KALB",49,"","ACRES BEARING","TOTAL","NOT SPECIFIED",7,"13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"DE KALB",49,"","ACRES GROWN","TOTAL","NOT SPECIFIED",7,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"DE KALB",49,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",6,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"DE KALB",49,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",6,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"JACKSON",71,"","ACRES BEARING","TOTAL","NOT SPECIFIED",1,"13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"JACKSON",71,"","ACRES GROWN","TOTAL","NOT SPECIFIED",1,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"JACKSON",71,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",4,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"JACKSON",71,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",4,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"MARSHALL",95,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"MARSHALL",95,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"MARSHALL",95,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",2,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"MARSHALL",95,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR",115,"","ACRES BEARING","TOTAL","NOT SPECIFIED",10,"13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR",115,"","ACRES GROWN","TOTAL","NOT SPECIFIED",10,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR",115,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",8,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR",115,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",8,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LAUDERDALE",77,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LAUDERDALE",77,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LAUDERDALE",77,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",2,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LAUDERDALE",77,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LIMESTONE",83,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LIMESTONE",83,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LIMESTONE",83,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,"(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LIMESTONE",83,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,"(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MADISON",89,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MADISON",89,"","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MADISON",89,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,"(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MADISON",89,"OPERATIONS ","WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",2,"(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"","ACRES BEARING","TOTAL","NOT SPECIFIED",2,"13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"","ACRES GROWN","TOTAL","NOT SPECIFIED",2,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,"(H)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",3,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",6,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"OPERATIONS ","WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",3,"47.6"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MORGAN",103,"","ACRES BEARING","TOTAL","NOT SPECIFIED",61,"13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MORGAN",103,"","ACRES GROWN","TOTAL","NOT SPECIFIED",61,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MORGAN",103,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",13,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MORGAN",103,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",13,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"BIBB",7,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"BIBB",7,"","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"BIBB",7,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"BIBB",7,"OPERATIONS ","WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",1,"47.6"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"","ACRES GROWN","TOTAL","NOT SPECIFIED",16,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",4,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",4,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"OPERATIONS ","WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",2,"47.6"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CLAY",27,"","ACRES BEARING","TOTAL","NOT SPECIFIED",8,"13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CLAY",27,"","ACRES GROWN","TOTAL","NOT SPECIFIED",8,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CLAY",27,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",8,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CLAY",27,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",8,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"JEFFERSON",73,"","ACRES BEARING","TOTAL","NOT SPECIFIED",8,"13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"JEFFERSON",73,"","ACRES GROWN","TOTAL","NOT SPECIFIED",8,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"JEFFERSON",73,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",5,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"JEFFERSON",73,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",5,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"RANDOLPH",111,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"RANDOLPH",111,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"RANDOLPH",111,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",4,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"RANDOLPH",111,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",4,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"","ACRES GROWN","TOTAL","NOT SPECIFIED",3,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",3,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",3,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"OPERATIONS ","WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",1,"47.6"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TALLADEGA",121,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TALLADEGA",121,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TALLADEGA",121,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,"(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TALLADEGA",121,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,"(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA",125,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA",125,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA",125,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",2,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA",125,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"WALKER",127,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"WALKER",127,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"WALKER",127,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"WALKER",127,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"COVINGTON",39,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"COVINGTON",39,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"COVINGTON",39,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,"(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"COVINGTON",39,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,"(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"GENEVA",61,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"GENEVA",61,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"GENEVA",61,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,"(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"GENEVA",61,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,"(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"HOUSTON",69,"","ACRES BEARING","TOTAL","NOT SPECIFIED",1,"13.2"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"HOUSTON",69,"","ACRES GROWN","TOTAL","NOT SPECIFIED",1,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"HOUSTON",69,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",4,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"HOUSTON",69,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",4,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"RUSSELL",113,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"RUSSELL",113,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"RUSSELL",113,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,"(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"RUSSELL",113,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,"(L)"
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"KENAI PENINSULA",30,"KENAI PENINSULA",NA,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
